2016-02-15T19:05:59.517+0800: 2556.231: [GC [PSYoungGen: 1362759K->13728K(1374848K)] 1486487K->137941K(4171072K), 0.0246710 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:06:57.292+0800: 2614.006: [GC [PSYoungGen: 1364832K->14496K(1374336K)] 1489045K->138881K(4170560K), 0.0272160 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:07:54.494+0800: 2671.209: [GC [PSYoungGen: 1365600K->15872K(1376000K)] 1489985K->140409K(4172224K), 0.0276420 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:08:46.272+0800: 2722.987: [GC [PSYoungGen: 1369344K->13216K(1375552K)] 1493881K->137993K(4171776K), 0.0249380 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:09:49.192+0800: 2785.907: [GC [PSYoungGen: 1366688K->15408K(1376896K)] 1491465K->140601K(4173120K), 0.0282110 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:10:38.057+0800: 2834.772: [GC [PSYoungGen: 1370608K->12224K(1376384K)] 1495801K->137948K(4172608K), 0.0230980 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:11:35.044+0800: 2891.758: [GC [PSYoungGen: 1367424K->13936K(1377472K)] 1493148K->139871K(4173696K), 0.0243270 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:12:27.607+0800: 2944.321: [GC [PSYoungGen: 1370352K->16784K(1377024K)] 1496287K->143120K(4173248K), 0.0342860 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:13:22.469+0800: 2999.184: [GC [PSYoungGen: 1373200K->14942K(1377856K)] 1499536K->141558K(4174080K), 0.0289170 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:14:15.577+0800: 3052.292: [GC [PSYoungGen: 1371998K->17440K(1377280K)] 1498614K->144566K(4173504K), 0.0323610 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:15:03.433+0800: 3100.147: [GC [PSYoungGen: 1374496K->14887K(1377984K)] 1501622K->142254K(4174208K), 0.0299810 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:15:59.662+0800: 3156.376: [GC [PSYoungGen: 1372263K->20073K(1377472K)] 1499630K->148978K(4173696K), 0.0388620 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2016-02-15T19:17:01.005+0800: 3217.719: [GC [PSYoungGen: 1377449K->16176K(1375552K)] 1506354K->145542K(4171776K), 0.0300880 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:17:55.118+0800: 3271.833: [GC [PSYoungGen: 1371120K->14048K(1376512K)] 1500486K->144234K(4172736K), 0.0276510 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T19:18:59.898+0800: 3336.612: [GC [PSYoungGen: 1368992K->15168K(1377280K)] 1499178K->145630K(4173504K), 0.0297590 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:19:50.953+0800: 3387.667: [GC [PSYoungGen: 1371136K->15898K(1376768K)] 1501598K->146536K(4172992K), 0.0304490 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T19:20:43.902+0800: 3440.616: [GC [PSYoungGen: 1371866K->13808K(1377856K)] 1502504K->145505K(4174080K), 0.0292650 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
